"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DF-186,Contract,"MINISTRY OF DEFENCE",Open,2024-09-09T12:39:54+01:00,"MOD Data Framework","This Procurement will establish a framework of multiple suppliers for the purchasing of supplier data.

The authority requires the purchase of data, in support of its Supply Chain Management, Development and Resilience activities. 

The solution must enable identification of business entities and a broad range of data relating to their health and operations.

Data should be accessible via supplier owned tools i.e. licence purchases and/or through data extraction and reuse with supported API, Flat file or AWS secure transfer. 

Any data procured will be for a defined duration and available for re-use in MOD tools with potential controlled sharing within MOD and externally with MOD Industry partners.

Alongside the purchased data, MOD may require access to supplier subject matter experts for training in the use of supplier tools and data topics to maximise potential use.

The contract will be for an initial period of 12 months, with 2 possible extensions of a further 12 months each, dependant on progress and milestone success.

The Framework will appoint up to 5 (Five) Suppliers to the Framework, in the case of a tie for the final place, both suppliers will be appointed.

To express interest and access this tender, please register via: https://contracts.mod.uk/web/login.html
The opportunity on the portal is live within ""ITT's open to all suppliers"" with the name: ""61974628 - MOD Data Framework""",,,"United Kingdom","48611000 72318000 ","Joe Lloyd",joe.lloyd167@mod.gov.uk,"MAIN BUILDING WHITEHALL",,LONDON,SW1A2HB,England,"0300 163 9189",https://contracts.mod.uk/web/login.html,,,"All documents for this procurement can be accessed via: https://contracts.mod.uk/web/login.html",08/11/2024,07/11/2025,14/10/2024,NO,,Yes,No,No,Products,12000000,,,,,,,,"OpenOJEU ",,12:00
tender_464591/1404574,PreProcurement,"Ministry of Defence",Open,2024-09-13T14:56:17+01:00,"Procurement of Electromagnetic Field Survey Meter Equipment (EMFSME)","1.	Introduction
1.1.	The Ministry of Defence (MOD) has a requirement to maintain a Radio Frequency Monitoring capability, therefore has a requirement to procure Electromagnetic Field Strength Survey Meters on behalf of the Operational Infrastructure Delivery Team (OIDT), part of Defence Equipment and Support (DE&S). 

1.2.	OIDT are responsible for ensuring enduring capability as long as the capability is required by front line commands. OI DT are responsible for Tri-Service and pan-platform General Purpose Test and Measuring Equipment (GPTME), which is essential for the maintenance and setting to work activities of Land, Sea and Air equipment assets. GPTME is comprised of mechanical and electrical items capable of being used in support of more than one weapon system, platform or equipment.

1.3.	This RFI is not a bidding opportunity, it is a means by which industry can provide information. Any resulting procurement activity will be conducted in the first instance competitively.

2.	Background
2.1. Radio frequency (RF) monitoring is required during monthly and 6 monthly scheduled maintenance and whenever there is an over exposure to electromagnetic fields (EMF) reported. These surveys are policy at sites with radar and transmitters producing high energy emissions, ensuring working areas are safe and that specified EMF levels are met at site boundaries. A number of safe systems of work and risk assessments across MOD specify a requirement for RF monitoring using this type of equipment.

3.	RFI intended outcomes 
3.1. This RFI aims to achieve the following outcomes: 

-	Explore the supply market.  
-	Inform the procurement strategy that will deliver best value for Defence. 
-	Enable the implementation of an enduring solution for commencement from potentially January 2025, subject to change.  

4.	RFI Procedure 
4.1. The results and analysis of this RFI shall not constitute any form of pre-qualification exercise. Any formal procurement process will be undertaken in accordance with the relevant Procurement Law.  
5.	How to submit responses to this RFI 
5.1.	Respondents should provide information in accordance with the format provided in Annex A in PDF, quoting the RFI reference on all documentation. Please provide your response via the Defence Sourcing Portal (DSP), responses will be accepted until 17:00 on Friday 11th October 2024. The Authority may decide to contact you directly to clarify any points raised in your response. If you require any further information, we invite you to submit final clarification questions via the DSP no later than Friday 4th October 2024. We will respond by Wednesday 10th October 2024. Please do not respond via email as this will not be considered.

5.2.	You will need to register on the portal to submit a response. Instructions on how to register can be found at the link below: https://www.contracts.mod.uk/esop/guest/go/public/registration

ALL DOCUMENTS ARE STILL VALID, DATE EXTENDED",,,"Any region","73436000 ",,DES-Deca-MST-Procurement@mod.gov.uk,"Welsh Road",,Deeside,"CH5 2LS",Wales,,,,"https://contracts.mod.uk/esop/toolkit/opportunity/current/58732/detail.si ",,01/01/1,01/01/1,18/10/2024,YES,tender_464591/1404574,Yes,Yes,No,,,,,,,,,," ",
